"Date","Uncertainty"
2015-02-19,6.5
2015-04-02,5.6
2015-05-21,5.6
2015-07-02,9.2
2015-08-13,9.2
2015-10-08,6
2015-11-19,6
2016-01-14,6
2016-02-18,6
2016-04-07,3.4
2016-05-19,3.4
2016-07-07,8.1
2016-08-18,8.1
2016-10-06,12
2016-11-17,12
2017-01-12,6.3
2017-02-16,6.3
2017-04-06,4.8
2017-05-18,4.8
2017-07-06,5.4
2017-08-17,5.4
2017-10-05,8.5
2017-11-23,8.5
2018-01-11,7.4
2018-02-22,7.4
2018-04-12,8.5
2018-05-24,8.5
2018-07-12,8.6
2018-08-23,8.6
2018-10-11,4.4
2018-11-22,4.4
2019-01-10,3.1
2019-02-21,3.1
2019-04-04,2.8
2019-05-23,2.8
2019-07-11,6.5
2019-08-22,6.5
2019-10-10,5
2019-11-21,5
2020-01-16,4.8
2020-02-20,4.8
2020-04-09,4.6
2020-04-10,4.6
2020-05-22,4.6
2020-06-25,4.6
2020-08-20,3.6
2020-10-08,11.4
2020-11-26,11.4
2021-01-14,5.2
2021-02-18,5.2
2021-04-08,4
2021-05-14,4
2021-07-09,3.7
2021-07-29,3.7
2021-08-26,3.7
2021-10-07,3.7
2021-11-25,3.7
2022-01-20,7.5
2022-03-03,7.5
2022-04-07,8.3
2022-05-19,8.3
2022-07-07,6.3
2022-08-25,6.3
2022-10-06,10.4
2022-11-24,10.4
2023-03-02,10.4
2023-04-20,9
2023-06-01,9
2023-07-13,22.5
2023-08-31,22.5
2023-10-12,34.6
2023-11-23,34.6
2024-01-18,21.8
2024-01-19,21.8
2024-02-22,21.8
2024-04-04,90.1
2024-05-10,90.1
2024-07-04,155.7
2024-08-22,155.7
2024-10-10,88.4
2024-11-14,88.4
